web-scraper-order,web-scraper-start-url,review,bubble_rating
1668957315-11,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"I don't know what brought Shangri-la Golden Sands's rating down to 4 stars. The gate & signs are 5 stars to me. The lobby, front desk, staff & hospitality certainly are of high standards. The rooms are quite promising & feels quality. The restaurants and foods are top notch. Maybe there are some other fine details that the auditors look at.
I love Shangri-la Golden Sands for their kid-friendly environment but at the same time still maintaining high standard of services.
Maybe some rooms feel a bit cramped but the suite that I booked was really spacious and comfortable. Bed was really comfy and we had a really good sleep on it. Air conditioning was in perfect condition. I had long hot bath in the tub each time.
I just love how Shangri-la always maintaining their standards at the restaurant. It's difficult to find fault, whether in terms of hospitality or quality of food. The breakfast spreads were great and tasty.
The pool and slides are heaven for my kids. They just love to spend times here.
All in all, Shangri-la Golden Sands Penang is a must come for family with kids who demands quality standard of services while giving fun experience for the family.
Will certainly visit again!!",ui_bubble_rating bubble_50
1668957315-12,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Found another hotel moonlighting under the radar of a 5-star acclaimed brand with several red flags. Possibly signs of weak management team governing the resort. 

1. Bloody birds taking crap on your balcony. Going through guest belongings at pool table. Fine part of nature. What can I say but just, Fine. see pic.

2. Adventure Zone staff own definition and interpretation of rules are just “wow”! Kudos to Ms. F & A for making me really almost blow my top. With having such rude attitude! The rules stated MINIMUM of 1 parent yet their crude handwritten rules on the blackboard stated 1 parent 1 child ONLY and nowhere does it state that if an additional parent wants to sit in have to pay additional fees. Yet this was told to us verbally. Arguments ensued. This I think should not have progressed to this stage at all. see pic.

3. Gym equipment are NOT up to date, broken or not well maintained. Touch screen is not responsive. NFC functionality is broken despite carrying a world renowned (Life Fitness) brand. Shocking. 

4. Staffs are not at all up to 5-star standards. 80% are lazy and rude. I can be uptight and rude too. So, you only get what you give. 

5. Children toiletries = NONE! First Shangri-la’s of its kind. Do note parents.

6. Food at Garden restaurant is nothing close to Shangri-la standard. It was just ok to get by I felt it was more like a 3 star hotel. There isn't many choices for breakfast, and neither was the dinner buffet (paid separately) but the one for one deal was a plus for this. 

7. No in-room dining after 10.45pm. Kiss goodbye to late night supper. Not even a limited menu is offered after hours. I would have ordered a big meal otherwise-too bad. First 5-star hotel I’ve heard of with no IRD after 10.45pm.

8. Staff including security has no sense of courtesy even to wish you good morning when they see guests. The first Shangri-la I experience with such behavior.  

9. Do you think 1 bottle of drinking water is sufficient in the room? Mind blown. Room was mundane and small. Nothing to shout about. Old and desperately needs to be improved. No sanitizer/face mask packs that usually is provided by other Shangri-la. Much to my disappointment. Beds were standard and comfy. Toilet amenities were standard. 

10. Pool side F&B Sigi Bar order. I called the lady (name redacted) who was delivering food to the table next to mine and can you believe in my shock, I was told to walk to the counter to place my order? Even outside mamak restaurants will come to you to take your order mate seriously. Do you actually give a damn about customer service here? And you charge premium prices plus service charge and mamaks do not yet you expected me to walk and order at the counter. Eventually made my way to the counter and Agus & Mogana treated me with better courtesy. Pleasantly surprised with the milkshakes and salad. The food quality was at best for a beach/pool bar, but the birds (see above) are a pain to get rid off they attack as soon as you leave the table. Imagine if I had not choose to go to the counter?  How many customers you would have lost if this happened daily to several customers just because of that one lady’s response!?

The hotel charges 5 star prices and only that gets a perfect 5/5 star, but it gives out much less stars and value in actual services rendered to guests. The staffs here failed to realize how much customers like me pay exorbitantly high prices for the beverages, foods & services we expect here. To be helpful, courteous and understanding does not take a single cent yet it was hard to find at Shangri-La Golden Sands.

Overall, we came here with the expectation of a Shangri-la experience. We left in utmost disappointment. Straight up across the board warning bells ringing all over this establishment that poor management here is the issue. I hope this is useful for future patrons. I will NEVER recommend anyone or stay here ever again. 

We have stayed in multiple Shangri-la establishments and Golden Sands was the most appalling of all.

And DON'T bother replying me here Markus & GSH CSR team. I don’t see any action taken to improve the situation anyway from past feedbacks given by other guests. 
This is my final visit to Shangri-la GSH. Adios! 👏 

Dismayed,
Columbus808",ui_bubble_rating bubble_20
1668957315-13,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Overall the stay was very pleasant. The view and ambiance was breathtaking. Ms. Michelle Oon, the Front Office Manager was very attentive and very helpful. The staff were friendly, courteous and helpful. The only flaw was that my son and 2 daughters were not allowed to swim in the adults pool because they're either below the age limit or below minimum required height. This is despite all of them being able to swim. Well I just let it slide and kept in mind that the lifeguard was only doing his job. TQSM Golden Sands for the memorable stay. And I personally would like to thank Ms. Michelle Oon. Looking forward to be there again! Stay safe stay healthy everyone 💕

p/s: I am an OKU - visually impaired (limited vision). Ms Michelle was extremely helpful when I told her of my predicament of finding a suitable parking space and also to navigate the narrow parking area (take note it was public holiday so the hotel was almost at full capacity). Once she got to know of my situation, she immediately reserved a parking space for me at  a place where I won't have any problem navigating. TQSM Ms Michelle for your thoughtfulness, I will always remember it...truly touched. It really meant a lot for people like me. You are indeed a kind soul 🙏🏻🙏🏻🙏🏻",ui_bubble_rating bubble_40
1668957315-14,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,im having short vacation with my family! my child’s enjoy it!! Breakfast have a lot of meal to choice.. will repeat again soon !! Everything’s good and perfect!! room are clean and the staff very helpfull!!,ui_bubble_rating bubble_50
1668957315-15,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Love this resort.good food and environment.kids had lots of fun.will surely repeat our stay in golden sands resort❤️❤️❤️❤️ the private beach is clean.bravooo
the staff are so friendly and welcoming.from the beginning to the last day we really enjoy",ui_bubble_rating bubble_50
1668957315-16,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"We had enjoyed our stays there. Great service, friendly staff and nice breakfast with variety of food selection. Kids enjoy themselves at the water park and swimming pool, and there's a private beach as well. During our stay, they sent 2 piece of cake to the room noticing that the day was my mum's birthday, and my birthday few days later. Very sweet of them.",ui_bubble_rating bubble_50
1668957315-17,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,Our family especially the kids enjoyed the pool the most. The room was nice. Had some problem with the bathroom tub drainage but the management came quick to fix this. Look forward to visit again with our parents,ui_bubble_rating bubble_40
1668957315-18,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Was here before the pandemic and don’t recall the DOZENS of pigeons and ravens everywhere. They are sickeningly on the balconies, leaving excrement on the furniture and floors such that you cannot enjoy the balcony or open the sliding door. 
They are all over the pool area, flocking around the popcorn station and milling about diners. Extremely unpleasant and unhygienic. 
Worse than the usual flies.",ui_bubble_rating bubble_30
1668957315-19,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"I'm not sure how to describe it, but Golden Sand is one of the best hotel I'd stayed . In fact this is the third time I stayed here. The 1st experienced was after getting my 1st born son n now I'm down with the 3rd kids. Was it worth? Definitely! Given that I'm having such tight budget of financial lately, I still hope to bring my family here so we could spend our time here. My best regards to the staffs which nvr stop to smile n make us comfortable.",ui_bubble_rating bubble_50
1668957315-20,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,I n my wife like the scenery fr my hotel room facing d sea.Location was very good.Near to nite market n local food. Both of us like d breakfast we bought  fr d nearby road side stall  like nasi lemak n roti canai. D only regret we don stay longer there to try d sea activities like parassiling n jet ski.I will certainly recommend ur hotel to my frendsn relatives. Nex time I will also like to stay there again if I were to go to Penang again.,ui_bubble_rating bubble_50
1668957315-31,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Hotel exceeded my expectations was spotless the staff was amazing and the most comfortable feel to stay in this property. My daughter very very happy. We've enjoyed very much. For the food, for the view and also for the overall experience. Will definitely pay another visit in the future.",ui_bubble_rating bubble_50
1668957315-32,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Hotel with range of amenities from swimming pool with slides, indoor playground, sea sports centre, spa, 24hr gym. Suitable for family with young children. Location is 1hr taxi ride from Penang airport. Lots of food option outside hotel.",ui_bubble_rating bubble_40
1668957315-33,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"The rooms were clean, very tidy, very comfortable, and the staffs were amazing. They are beyond to help and make our stay enjoyable. I highly recommend this hotel for anyone who is visiting Batu Feringgi.",ui_bubble_rating bubble_50
1668957315-34,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"My 3rd time been there, 3years in a row. This place has been my kids fav place! The pool was super great! Staff very friendly and helpfull, they even recognise me even after a year and treat us well.  Very recommended for family holidays. My authistic kid very happy 🥰",ui_bubble_rating bubble_50
1668957315-35,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,Had an amazing stay throughout as the staff are very attentive and provide excellent service. From checking in to catering to my needs in the room to breakfast and dinner at garden cafe and many more! My go to hotel in batu feringgi if i ever need a break in future 👍🏼👍🏼👍🏼,ui_bubble_rating bubble_50
1668957315-36,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"We made a booking to directly with the hotel for a 2 night stay in early October to celebrate my daughter’s 2nd birthday. 

Even prior to the trip we were constantly updated and checked on via email on our tentative arrival time into Penang. Utilising the Shangri-La Circle app, check in was a breeze without the need for queuing.

We made a request as a favour directly to the Front Office Manager, Ms Michelle to help with some simple decoration to surprise my daughter as she returned from the swimming pool, Ms Michelle organised it with her team of staffs and made the birthday a memorable one. 

And when it was time to light the candle on the cake (which we forgot to bring a lighter or matches) , Ms Michelle was quick to organise and got a staff member to bring a lighter directly to our room. 

Though out the stay we were constantly checked on if things were ok. These are the small things that made the trip so much better.

We had a fantastic stay which was definitely made better by all the lovely staff members of the hotel. 
They truly deserve the 5 star rating.

Thank you Michelle & team.",ui_bubble_rating bubble_50
1668957315-37,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"A very great atmosphere for vacation. The hotel itself is very calming. On weekdays, it is not too busy so you can enjoy every place and facility at the hotel.
The Front Office staff especially Michelle the Front Office Manager made us very welcomed! She is very attentive to detail and pleasant to us. We felt like home. Sigi’s bar is also a great restaurant/bar to hangout. Although limited menu, but the ambience is quite relaxing. We will sure come again next time",ui_bubble_rating bubble_50
1668957315-38,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,Need a refurbishment as the hotel is pretty dated. For that price of >RM400 I think you can get newer and more modern hotels in Penang. Visited this hotel 3 years back and I think it has worsen in terms of its looks and all. Only saying grace is its by the beach and has an awesome beachfront to chill and relax.,ui_bubble_rating bubble_30
1668957315-39,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,Love everything about this resort. My kids had so much fun around the pool and slides. The indoor Adventureland was awesome too. Breakfast is amazing and lots of varieties. Staff are all well trained especially Michelle for being super helpful and accommodating during our trip. We will be back for sure! My kids had been saying they wanna go back to the best hotel! Thank you for the awesome time.,ui_bubble_rating bubble_50
1668957315-40,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Staying  at the Shangri-La Golden Sands, Penang,  Overall Experience is“Excellent” 👍👍👍👍👍 and truly did make my stay comfortable and enjoyable for my family.

 
and credit to Ms Michelle Oon very kind and helpful.",ui_bubble_rating bubble_50
1668957315-41,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"We spent 4 days 3 nights at Golden Sands Shangri-La and booked the family room. It was a good decision as my child had loads of fun playing in her own room, her own space. Rooms are clean, no plumbing issue in the bathrooms. 

Swimming pools and Splash Zone are well-maintained and didn’t disappoint! We hit the pool EVERYDAY! 

Breakfast buffet spans from Western to local fare. You will be spoilt for choice!

Backgate leads to the beautiful sandy beach where you can play watersports.

The entire Shangri-La team are friendly, helpful and approachable. Will definitely be back here next time! Check-in was a breeze. It was a fuss-free vacation for us! 👍👍👍",ui_bubble_rating bubble_50
1668957315-42,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"This Shangri-la property get's the job done for families.  We stayed in room 444, which was your very basic room but came with an excellent view of the sea, pool and property.  The room could use updating as it is definitely showing its age.  The benefit of this room is that it has a king bed and a Murphy bed so it was adequate for a family of 4.  

The swimming pools were great for our family, especially younger children.  Our kids are 10 and 7 and still enjoyed using the waterslides but I would say that if your children are 12+ the ""kids"" features of this resort will no longer be suitable or keep them entertained.

The beach at the property was pretty clean and there was lots of space for kids to play.  Unfortunately there are no hotel beach chairs so you just have to sit out on the sand or take one of the pool towels to the beach for something to sit on.  All of the tanning chairs are located on the lawn but they don't have much shade and because it rains quite often the lawn has some pretty muddy patches.  The water in front of the resort is not your clear blue / green tropical water, it is rather murky and everyone I talk to says that is what you get on the west coast of Malaysia.  All that to say I didn't swim in the sea,  Oh, watch out for the jellyfish, they are out there and one child got a minor sting, the hotel had a vinegar solution and attended to the child adequately.

We had breakfast every morning at the buffet, there was a good mix of western and asian cuisine to meet everyone's tastes.  The various food options remained stocked throughout the breakfast period and everything appeared to be of a good quality (nobody got sick),

The pool bar has a 4-7pm happy hour, the drinks are priced around 30-40MYR depending on what you want.  We enjoyed the gin and tonics along with the mojitos.  There is also a kids menu that had good simple options to order something as the kids became hungry throughout the day.  Again the quality of the food was good and prices were reasonable by hotel standards.

I used the gym every morning, there are two treadmills, one reclined cycling machine, one elliptical machine and an upright bike for cardio activity.  There are sufficient free weights with one work out bench that can be moved around.  There is also a four sided weight machine (legs / chest / back / triceps).  I would come pretty early and have space but it started filling up around 7 or 8am

The hotel is well situated in that there are plenty of restaurants and hawker stalls located right across the street or further to the west of the property.  If you want to eat and drink alcohol at a discount, we suggest leaving the resort.  I feel bad writing this but the hawker stalls are very conveniently located and the prices are 1/4 of the price at the hotel.  You'll also come across all of the standard asian market ""knock off"" items, always deals to be had.  I found that leg massages were about 75MYR per hour and back and neck massages for 1 hour were 50MYR,

A very nice aspect of staying at this Shangri-la is that you are able to walk over to the sister resort next door (to the east) and use the pools there.  This resort appears to be a bit nicer and more geared to adults or older children.  We used the pools for a full morning and it was a nice change of scenery.

This resort is about 25 minute Grab ride to Georgetown and about 45 minutes from the KTM Butterworth train station.  

It seemed that the hotel only wanted to provide two bottles of water at a time for our room despite asking on multiple occasions for more water, such as 4 bottles, only two would be left.  I can't drink the tap water so just give me as much water as I need / request, I will determine how much water I need to consume.  

I would recommend using the Shangri-la app to do a virtual check-in, this saved us heaps of time instead of lining up with the masses.

All in all, if you have not been to Penang before and you want a means to have a beach vacation and check out Georgetown, then this is a good spot for you.",ui_bubble_rating bubble_40
1668957315-43,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Book for a day staying in this resort. Located in Batu Ferringgi quite far from the city (Georgetown) but a great stay near the beach and less busy street. Near the resort few restaurants, mini market, pharmacy, fast food available walking distance less than 3 mins. During night time we can stroll along side Batu Ferringgi area for night market and as well massage area. It was very convenient 

Check in process was smooth, staff was amiable, greet with warm welcome explaining details of the rooms and regarding breakfast as well. We get free candy for my daughter at the receptionist area. It was lovely and the ambience was great. 

Our room was sea view and can be seen the pool area too. The room is comfy we requested for bathtub and the water pressure is good except the shower has faulty on the diverter faucet. The water drains quite slow due to both faucet function at the same times. But it was manageable. The best part staying this hotel they provided an extra bag upon request.

My daughter enjoys her day at the pool area. Having splash pool was great and the water slide too. An applause for the lifeguard always being active manage the pool area especially in kids pool and the water slides to make sure everyone safety in priority. We also get a chance to order food at the pool area the staff being attentive for what we need. The food was delicious. They also have kid indoor playground but with charges, unfortunately we didn’t get a chance to enjoy it due to limitation times and day as we stay for just for night. 

Breakfast was delicious have variety choices of food staff on floor was amazing showing great hospitality. The resort friendly for wheelchair access as well. 

Checkout process was smooth, we leave the resort with a great memory. Keep up the great work.",ui_bubble_rating bubble_50
1668957315-44,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,Amazing service as usual. We had a bit of an issue with our check in times but we were assured that it will be rectified asap. We were given drinks while we wait and rooms organised asap….. management team and front of house was amazing and very professional. Would definitely recommend,ui_bubble_rating bubble_50
1668957315-45,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"We had a really nice holiday at the Golden Sands Batu Ferringhi. The ambience was really cosy, food very good and there were many activities around. The rooms were cosy and clean. Staff very friendly and helpful. Thank you very much.❤️",ui_bubble_rating bubble_50
1668957315-46,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Amazing place, very kids friend.
Pool was amazing, the lifeguard was always actively ensure the kids are safe. Kids friendly as well? Got some slides. Apart from that there was a kids zone that you can play and needs to pay. But it was a big playzone so I manage to let my son to play and let himself exhaust his energy.",ui_bubble_rating bubble_50
1668957315-47,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,Spent 5 days here and it was a blast for the kids. We took the family combo room. And the only down side to it is the kids scrambling for who gets to use the top bunk and tent. 10.10 will come again. Adults got to relax and kids got to release their energy.,ui_bubble_rating bubble_50
1668957315-48,https://www.tripadvisor.com/Hotel_Review-g635527-d302164-Reviews-Shangri_La_Golden_Sands_Penang-Batu_Ferringhi_Penang_Island_Penang.html,"Book 2 rooms for two night stay using the Shangri La App. It was easy for checkin and checkout management. 

Staff hospitality was excellent,  with a great environment/sceneries  made our vacation was a wonderful moment. Our kids enjoys so much with the pool. 

For sure to come back again.",ui_bubble_rating bubble_50
